;city;IVS (2010);IDHM;populacao_estimada_2020;city_ibge_code;cases_media_apr;deaths_media_apr;cases_media_ago;deaths_media_ago;cases_media_dec;deaths_media_dec
0;Adamantina;0.174;0.79;33908.33584992;3500105;0.6319558566193093;0.0;11.130577345617514;0.09513313970613259;11.225710485323646;0.2853994191183978
1;Adolfo;0.217;0.729;3446.8339225600002;3500204;29.012131784327146;0.0;44.922010504764614;0.0;13.102253063889679;0.0
2;Aguaí;0.286;0.715;35649.09203903999;3500303;5.610241062548696;0.701280132818587;9.501214702703438;0.09048775907336606;16.197308874132528;0.36195103629346426
3;Águas da Prata;0.181;0.781;7801.505622719999;3500402;6.40901928653196;0.0;12.81803857306392;0.0;14.058493918844297;0.0
4;Águas de Lindóia;0.182;0.745;18392.57468947;3500501;0.93740977549031;0.18748195509806198;12.803203191696685;0.1753863450917354;16.310930093531393;0.1753863450917354
5;Águas de Santa Bárbara;0.143;0.757;5933.231298600001;3500550;;;7.067899726218797;0.0;10.873691886490457;0.0
6;Águas de São Pedro;0.113;0.854;3133.1217618699993;3500600;1.5198594640837149;0.0;16.473315481681553;0.0;16.473315481681553;1.029582217605097
7;Agudos;0.258;0.745;36158.37572047999;3500709;1.716586109870132;0.09536589499278511;15.255466879652305;0.35685302642461525;14.898613853227685;0.08921325660615381
8;Alambari;0.203;0.712;5794.296704000001;3500758;1.150556660666762;0.0;11.691140261613873;0.5567209648387558;22.26883859355023;0.0
9;Alfredo Marcondes;0.235;0.741;3930.849922999999;3500808;;;12.309576229576539;0.8206384153051024;18.874683552017355;0.0
10;Altair;4.0;0.687;4039.66136506;3500907;;;15.970677540021926;0.7985338770010962;3.9926693850054815;0.7985338770010962
11;Altinópolis;0.28;0.73;15547.667200130001;3501004;;;16.183321908492008;0.41495697201261555;4.979483664151387;0.0
12;Alto Alegre;0.321;0.7;4020.06240317;3501103;;;30.492224465130185;0.802426959608689;32.89950534395625;0.0
13;Alumínio;0.251;0.766;17982.033459319995;3501152;;;10.04586948962077;0.3587810532007418;18.297833713237832;0.7175621064014835
14;Álvares Florence;0.19;0.728;3618.8407334800004;3501202;;;23.176197550225513;0.8913922134702119;16.93645205593403;0.0
15;Álvares Machado;0.231;0.757;23770.94774816;3501301;1.4022719534147943;0.0;6.242371921652956;0.2714074748544763;13.434670005296578;0.40711121228171454
16;Álvaro de Carvalho;0.278;0.688;5044.71103218;3501400;;;2.5577730268676393;0.0;3.8366595403014596;0.0
17;Alvinlândia;0.17;0.722;3178.5528968800004;3501509;;;12.178396482673431;0.0;9.133797362005074;0.0
18;Americana;0.149;0.81;234123.22145075;3501608;0.6976383304536583;0.04271255084410153;25.710199959707566;0.5649079305187621;26.90890703178396;0.45468199285656463
19;Américo Brasiliense;0.269;0.751;40359.04233529001;3501707;0.9911037944778966;0.0;14.946484642529569;0.0799277253611207;13.507785586029396;0.2397831760833621
20;Américo de Campos;0.248;0.745;5739.7354335;3501806;;;85.42598980841358;3.372078545068957;20.79448436125857;0.0
21;Amparo;0.151;0.785;69733.21302305;3501905;0.7887202900262175;0.0;13.368924564080752;0.3238147818289456;11.472295127654071;0.1850370181879689
22;Analândia;0.194;0.754;4864.430544959999;3502002;;;8.620841326312448;0.6631416404855729;7.957699685826876;0.0
23;Andradina;0.185;0.779;56088.54634367001;3502101;1.225740449373563;0.0;14.263161592710553;0.17253824507311155;25.190583780674284;1.3227932122271884
24;Angatuba;0.227;0.719;24521.1638;3502200;0.6274015177295699;0.31370075886478493;12.234329595726612;0.5262077245473811;6.051388832294883;0.39465579341053586
25;Anhembi;0.211;0.721;6687.431639869998;3502309;29.906847766131026;0.0;5.306053635926473;0.0;3.376579586498664;0.0
26;Anhumas;0.208;0.741;3965.3806203900003;3502408;;;8.948414884887407;0.0;20.337306556562286;0.0
27;Aparecida;0.187;0.755;35712.42228;3502507;0.2153958539131525;0.0;12.736148394284147;0.6322910550353831;9.213383944801297;0.0903272935764833
28;Aparecida d'Oeste;0.243;0.721;4129.3558;3502606;;;22.654474844907813;0.0;24.2168524204187;0.7811887877554419
29;Apiaí;0.342;0.71;24572.52305604;3502705;0.2543491356482309;0.0;6.038740768938643;0.26255394647559316;10.108326939310338;0.39383091971338985
30;Araçariguama;0.235;0.704;20134.116679320003;3502754;0.7450041260268787;0.24833470867562624;19.546344811888;0.4806478232431476;12.657059345402885;0.32043188216209834
31;Araçatuba;0.172;0.788;188053.82459856002;3502804;1.1344269854055757;0.03545084329392424;27.788886840076096;0.600377184816459;35.98832382128373;0.3259190431860777
32;Araçoiaba da Serra;0.221;0.776;31235.11064532;3502903;0.30490718063892913;0.0;22.72050281535246;0.3098250383911699;15.284701893964384;0.4131000511882265
33;Aramina;0.167;0.741;5624.818856250001;3503000;;;22.939806838604643;0.0;1.146990341930232;0.0
34;Arandu;0.216;0.686;6371.274662500001;3503109;10.089929832108266;2.2422066293573923;4.556742504823089;0.0;8.100875564129934;0.5063047227581209
35;Arapeí;0.243;0.68;2558.2417437500003;3503158;;;2.5218933742237764;0.0;21.4360936809021;0.0
36;Araraquara;0.176;0.815;232311.33413125;3503208;1.128093756153882;0.04453001669028482;19.481642893307722;0.1805141536799718;19.578842822212327;0.19439985780920038
37;Araras;0.185;0.781;133219.06702500003;3503307;0.437875257919247;0.06255360827417812;23.269942277994268;0.4358573995878219;12.95465048774915;0.09685719990840484
38;Arco-Íris;0.229;0.722;1810.44617192;3503356;;;20.349738000819098;0.0;14.254194360020751;1.7817742950025939
39;Arealva;0.213;0.744;8200.307571749998;3503406;2.438932908919156;0.0;14.55492219838851;0.39337627563212185;20.848942608502462;0.0
40;Areias;0.286;0.697;3836.75250447;3503505;;;10.929942398450486;0.0;0.8407647998808065;0.0
41;Areiópolis;0.298;0.695;10844.170526879998;3503604;4.610772200239977;0.0;13.088643665197356;0.0;8.626606052061891;0.0
42;Ariranha;0.221;0.732;9333.119802239999;3503703;;;11.751420926635436;0.0;7.258230572333653;1.0368900817619504
43;Artur Nogueira;0.26;0.749;52937.46398772;3503802;0.085864607086372;0.0;21.997958370321495;0.5484255549387631;11.577872826484999;0.5484255549387631
44;Arujá;0.307;0.784;89967.62152576;3503901;1.9266190479838754;0.07410073261476444;17.676610247941387;0.35855193200692465;14.055235734671447;0.5019727048096946
45;Aspásia;0.206;0.735;1765.1410875000001;3503950;;;20.1025692614738;0.0;14.620050371980943;0.0
46;Assis;0.163;0.804;101470.45873664;3504008;0.441779674252224;0.06796610373111138;12.016845630652305;0.09537179071946275;15.64097367799189;0.2861153721583883
47;Atibaia;0.203;0.765;139835.15645707003;3504107;0.8683694036974922;0.025540276579338005;14.810064896457419;0.32296091674517735;16.747830396928485;0.16148045837258868
48;Auriflama;0.218;0.773;14483.882288690002;3504206;1.7260565573307438;0.0;23.83071633992124;0.4454339502789016;35.41199904717268;0.0
49;Avaí;0.281;0.714;5291.119671749999;3504305;1.4538147253364841;0.0;18.28992718971706;0.6096642396572352;6.706306636229589;0.0
50;Avanhandava;0.275;0.705;12119.278149090003;3504404;;;10.913031526226655;0.2661715006396745;3.4602295083157686;0.0
51;Avaré;0.224;0.767;87624.98073725;3504503;1.091608501459916;0.049618568248178;6.99461752401735;0.11044132932658973;10.418298733141631;0.03681377644219658
52;Bady Bassitt;0.164;0.746;16404.727768520002;3504602;0.5300698857435259;0.0;59.18828740326499;0.39327765716455143;26.349603030024948;0.19663882858227572
53;Balbinos;0.269;0.669;3705.661196189999;3504701;;;47.007413566624784;0.8705076586411996;15.669137855541596;0.0
54;Bálsamo;0.166;0.757;8536.311314999999;3504800;;;60.084878219609735;2.267353895079613;20.028292739869915;0.3778923158466021
55;Bananal;0.259;0.733;10646.7695136;3504909;;;20.60294800497722;0.3029845294849591;10.30147400248861;0.0
56;Barão de Antonina;0.273;0.711;3384.1452236799996;3505005;;;0.953211590637675;0.0;0.0;0.0
57;Barbosa;0.266;0.699;7286.99695542;3505104;;;26.118108983646707;0.4426798132821475;10.624315518771542;0.4426798132821475
58;Bariri;0.151;0.75;34038.22865040001;3505203;0.17281607105918959;0.0;23.88206607798607;0.37908041393628683;10.0456309693116;0.09477010348407171
59;Barra Bonita;0.141;0.788;34901.092971;3505302;2.865239781547585;0.40931996879251215;18.76269921465032;0.3697083589093658;8.965427703552121;0.2772812691820244
60;Barra do Chapéu;0.434;0.66;5529.2355052;3505351;;;11.084773387388607;0.5834091256520318;8.167727759128447;0.0
61;Barra do Turvo;0.368;0.641;7666.79156336;3505401;0.5928757170310345;0.0;21.45827595189744;0.4207505088607341;15.147018318986431;0.4207505088607341
62;Barretos;0.188;0.789;118192.68214992002;3505500;1.656898970148854;0.10575950873290559;33.43365114782176;0.46397719960242445;11.435673331377403;0.10917110578880576
63;Barrinha;0.342;0.725;32393.863429339995;3505609;0.3858755540927055;0.3858755540927055;19.71699605428534;0.6970655170706938;1.9916157630591251;0.1991615763059125
64;Barueri;0.298;0.786;264752.51331825;3505708;3.701570148352002;0.18885561981387763;24.161335102639956;0.5970274432825808;28.255237570863372;0.4751851079187889
65;Bastos;0.175;0.751;20255.612339159998;3505807;;;3.3443538684291503;0.3185098922313476;8.28125719801504;0.1592549461156738
66;Batatais;0.252;0.761;60293.23559324999;3505906;0.14422268250083012;0.07211134125041506;13.750004455845273;0.32101177717926704;6.687745357901397;0.10700392572642234
67;Bauru;0.208;0.801;364671.67127992003;3506003;0.959767449913437;0.08226578142115173;26.785030768091126;0.5749758916532111;23.591703123678677;0.291910837300861
68;Bebedouro;0.161;0.779;74194.61189712;3506102;0.39311030708146105;0.0;10.304200122946314;0.13043291294868753;12.695470193672254;0.26086582589737506
